Time,Comment,Scramble,Date
22.13376498222351,"",U L' D2 R2 B2 F2 D2 B2 R' B' R2 D2 B' L' F' R2 U2 L' U',2025-01-16 08:59:47 +0000
17.533128023147583,"",F2 D2 R D B2 F2 L2 R F2 U2 L' F' U B2 U L' U2 R2,2025-01-29 16:00:09 +0000
20.467184901237488,"",F' D2 R2 U B2 L2 R2 D2 B L' F2 R2 D F D' L' D' R,2025-01-20 11:38:04 +0000
22.733729004859924,"",R' F L2 D F2 D' B' L' U2 B L2 U' L2 U D2 F2 U2 L2,2025-01-27 06:24:01 +0000
18.303236961364746,"",D' F2 R F2 L2 D U' B2 R2 U' L2 B' L' B2 L U L' R2 U2,2025-01-31 07:47:10 +0000
23.20146095752716,"",R2 U2 R' F2 L B2 L' F2 U L' F' D' B U2 B L F' L' D2,2025-01-19 11:16:56 +0000
27.064707040786743,"",D' R' B2 U2 L' F2 R F2 R U2 R2 B U B2 L B' D' F' U R2,2025-01-17 11:49:08 +0000
27.56722104549408,"",F R' L2 U L U2 B R U L2 F' R' L2 F2 U2 D2,2025-01-20 12:40:12 +0000
18.733287930488586,"",F2 U' R' U' L2 D L2 U' L2 D2 B2 L2 B' U' L2 F2 D L U2,2025-01-27 08:59:34 +0000
18.135066986083984,"",L' D L U2 B2 U2 B2 R' U2 R F2 R' D' F' L2 U' R2 D2 F2,2025-01-19 11:15:12 +0000
21.76714599132538,"",R' F' U D2 R' U2 L' R2 F2 L' D2 R2 F' L D' B2 U2 F L',2025-01-20 09:02:07 +0000
17.734925031661987,"",U2 L2 B2 D R U2 F D' L2 U B2 U R2 F2 R2 U' L' F2,2025-01-20 13:02:26 +0000
24.860997080802917,"",F2 R L2 D B' D2 B L' F' U2 R L2 B2 R2 F2 D' B2 U2 R2,2025-01-27 11:08:44 +0000
26.46797001361847,"",B L F' D2 R2 U2 R2 B' D2 U2 L' F2 D' L' R F U2 B' F,2025-01-17 18:02:38 +0000
25.16758704185486,"",D2 B2 D2 B' L2 B2 U2 F' R2 F2 D' L' F' U' R' B' L2 B F2 D2,2025-01-19 17:21:39 +0000
28.33272099494934,"",U' L' F B2 U B U D F U2 R L' U2 R B2 U2 L U R,2025-01-21 11:11:21 +0000
23.099504947662354,"",U L2 B D2 F D2 L2 B2 R2 F2 D F D2 B2 L F' U' R' U',2025-01-19 11:38:46 +0000
24.36272096633911,"",F D R2 D U2 L2 D2 L2 U' B2 F2 L U' B2 U F D F2 L B,2025-01-27 11:19:09 +0000
23.598937034606934,"",R' U F2 D' F2 L2 D2 F2 D U2 F' D' R D2 U' B2 F U B',2025-01-17 18:07:25 +0000
22.845033049583435,"",R' B2 U2 R U2 R B' U2 B2 U' R U R2 U2 D2 R2 F2 D',2025-01-19 14:28:52 +0000
24.401620030403137,"",U' F D2 R2 D2 L' R2 B2 L F2 D U' L2 R' F2 U2 R' U2,2025-01-21 11:23:06 +0000
24.033850073814392,"",D2 L2 B' F' D2 B' R2 D2 B' R2 D2 R' U' F R2 F2 R D U B2,2025-01-28 11:26:49 +0000
21.33248209953308,"1 F2L déjà fait wtf",D' B' L2 D2 F D2 F2 R2 F' U2 L' U F U2 B' U L D2 B2,2025-01-19 11:18:31 +0000
26.46321702003479,"",D' B' L' U2 B' R2 D R D2 B D F2 D B2 U' F2 U2 L2 B2,2025-01-21 16:13:12 +0000
18.66781997680664,"",U F2 R2 U' L2 D2 R2 U2 L B' R2 D' F L2 B U' F2 L' D,2025-01-28 11:37:16 +0000
26.101190090179443,"",L F2 R U F B D L2 F' U F2 B2 L' B2 R2 L' F2 L2 B',2025-01-19 11:35:58 +0000
16.401563048362732,"",U F2 D2 B R2 F' U2 F L2 R U' R F2 D2 B2 U' B D' F,2025-01-09 12:13:15 +0000
19.635183095932007,"",D' L2 F' B R' L F' R' D2 R2 U2 B D2 B L2 F2 D2 R,2025-01-19 17:09:05 +0000
24.8252090215683,"",L2 D' F2 L2 D2 F' R' F2 D2 R' B2 U' R' B' D' L' R2,2025-01-23 12:03:16 +0000
22.86817502975464,"",D' F2 R2 D2 U' L2 U' F2 U B L' B2 R' F' R2 F' D U B',2025-01-29 07:49:02 +0000
