,Time,Comment,Scramble,Date
131,23.737404942512512,,R' B' R U L' D B' R2 L2 U R2 L B2 L' U2 R2 D2 R2,2025-01-08 08:50:18 +0000
164,23.102277994155884,,U F2 U2 B' L2 U R B' R D2 L2 B' D2 L2 B2 L2 F' U',2025-01-08 08:59:04 +0000
198,26.80031895637512,,L' R2 B D2 F D2 L2 F' R2 F' U2 R2 L' B U L2 B2 R U',2025-01-08 09:00:06 +0000
88,19.534438014030457,Hello,F U' F B L U2 B R B2 U2 R2 U2 R L2 D2 F2 R' B D,2025-01-08 09:01:02 +0000
50,20.45763099193573,,D R2 F' U2 B' R2 U2 B U2 F R' U' R B F L B2 F2 U2,2025-01-09 12:01:29 +0000
267,22.035686016082764,,R2 U2 F L2 F D2 L2 B2 F' L' B' F' U' B U R U' B',2025-01-09 12:07:03 +0000
205,25.86645197868347,,D2 B' L2 B2 L F' U B L' F2 L' F2 R2 U2 B2 D2 F2 R U2,2025-01-09 12:08:18 +0000
169,19.86748206615448,,R2 F2 R2 F D L2 U' B2 L2 D2 U' R2 U' F U2 R' F' L F U,2025-01-09 12:09:26 +0000
201,25.40057110786438,,B L2 R2 D2 B' L2 U2 F' R F' D L2 U R' D L2 F U L,2025-01-09 12:10:38 +0000
243,21.76674199104309,,R' B2 D2 R2 U2 R' B2 R B' F U' F2 L2 D2 R' F2 D2 U',2025-01-09 12:11:32 +0000
276,22.63362598419189,,R2 D2 F' B2 L B2 L' R U2 R D2 U B D' U2 B' D2 U2 R,2025-01-09 12:12:28 +0000
26,16.401563048362732,,U F2 D2 B R2 F' U2 F L2 R U' R F2 D2 B2 U' B D' F,2025-01-09 12:13:15 +0000
59,21.26062393188477,,B' R2 F' D' B2 F' U2 L2 B2 F' D2 L2 D L R U B' F' U',2025-01-09 12:14:31 +0000
102,27.36832296848297,,B U' L' B R2 F2 D2 L' F B2 U2 F L2 F' U2 B' L2 U2 L2 U,2025-01-09 12:15:42 +0000
137,19.93444502353668,,F U F U D F D' B2 D' F R' U2 B' L2 D2 B2 L2 D2 B2,2025-01-09 12:18:03 +0000
173,24.46905493736267,,F R2 F2 U2 R2 F2 L' F2 R' D2 L' B' U L' B2 R' B U R',2025-01-10 12:04:16 +0000
206,19.934365034103397,,B2 D L' D2 F2 R' D2 R2 B2 F' R' D2 B' U' R2 U2 B' L,2025-01-10 12:05:25 +0000
246,23.834246039390564,,U2 B2 U B2 R D' F B2 U' D B D2 R2 B L2 B' U2 F2 R2,2025-01-10 12:06:23 +0000
280,26.868079900741577,,U2 B' U D F B2 R D L' D' R' U F2 U' R2 U2 F2 D2,2025-01-10 12:07:24 +0000
30,29.06725001335144,,F2 D2 R2 D2 R2 B L2 U2 L' R' F' D' F2 R D2 L' F' R' B2,2025-01-10 12:11:01 +0000
63,23.202800035476685,,F2 U' F2 L2 U' F2 L2 B2 R2 D' U2 B' R U B' U2 B F L' D2,2025-01-10 12:12:32 +0000
105,24.40151798725128,,R' U2 L2 B' R2 D2 R2 F' D2 F2 U' F U L D' R' D U' F',2025-01-13 07:17:37 +0000
140,25.8029100894928,,R F' D R2 L' B' R' B U B2 U L2 U D2 B2 D L U F2,2025-01-13 07:18:32 +0000
177,20.098750948905945,,B R L F D F2 U' L' B2 R' B U2 B2 U D R2 D L2 U,2025-01-13 07:19:30 +0000
210,27.80511689186096,,B U' L' F2 L2 U2 F2 U2 F2 R' B R2 U F2 L' U L' U2 B,2025-01-13 07:21:04 +0000
250,16.431464076042175,,D' F2 U2 B2 D2 F2 D' R2 U R' F' D2 B' F2 D B2 F2 U L R,2025-01-13 07:22:58 +0000
284,24.58434402942657,,D2 B U' B D2 R2 U2 B D2 F L2 D2 U' L' U' R' B R2 D B2,2025-01-13 07:26:42 +0000
34,29.53752899169922,,R B2 U F2 D2 U2 L2 F2 U2 R' B R B' U R B2 L' D2,2025-01-13 11:10:03 +0000
69,28.179540991783146,,L D L B2 U R2 D L2 D' B2 U R2 B R' D U' F' D L,2025-01-14 08:02:34 +0000
109,24.29647207260132,,L2 B' L' U D2 F R F' D' R' U2 D2 B2 U2 R B2 U2 R F2,2025-01-14 14:12:19 +0000
144,24.03599202632904,,U2 R2 L2 F' R' D' L' R2 F2 L2 U2 B L2 F2 L U' L F2,2025-01-15 07:03:01 +0000
183,22.66382896900177,,L' F D F2 R2 U' L2 B2 U2 B' L' B D' R2 F U B' R',2025-01-15 08:05:05 +0000
217,22.72699797153473,,U2 R2 U2 F2 R2 F2 R' B2 R F L' R2 D R' D' L' F L2 D2,2025-01-16 08:56:25 +0000
254,24.30109202861786,,L' B' U F2 D B2 U R2 U' L2 D' L2 F L' D' R' U' R B D2,2025-01-16 08:57:54 +0000
0,22.13376498222351,,U L' D2 R2 B2 F2 D2 B2 R' B' R2 D2 B' L' F' R2 U2 L' U',2025-01-16 08:59:47 +0000
39,19.167761087417603,,B2 R2 U2 B2 D U R2 B L B2 D2 B U L U2 B L2 F,2025-01-16 09:00:48 +0000
74,18.967311024665836,,B2 D2 B R U' R D' U2 F2 L2 B2 R' U2 L' F2 R' D F' L2,2025-01-16 09:02:31 +0000
115,23.92578899860382,,R F L2 D R F2 B R2 U' R' F2 U' L2 D' F2 B2 L2 F2,2025-01-17 05:58:22 +0000
149,18.86915099620819,,R U2 L R' B2 R2 F2 D L2 U F L B L2 F2 R2 U F',2025-01-17 05:59:21 +0000
187,21.91949701309204,,L' D2 B R2 D L2 U' L2 U2 L2 U R D B' F U' B2 U' R',2025-01-17 06:02:28 +0000
222,24.449262976646423,,U' B R' B R' D L2 U2 L' B' R F2 U D R2 D2 R2 F2 U',2025-01-17 07:02:12 +0000
259,19.621657013893127,,R2 U' F2 U' D' L' F2 D' R D2 F' U' F2 U' F2 D F2 B2,2025-01-17 08:50:36 +0000
6,27.064707040786743,,D' R' B2 U2 L' F2 R F2 R U2 R2 B U B2 L B' D' F' U R2,2025-01-17 11:49:08 +0000
43,21.93260395526886,,D' B D' L U L' F' L2 D L U2 F2 R' F2 U2 L U2 B' L,2025-01-17 11:50:13 +0000
79,21.16495406627655,,F' B D2 L B' U2 B2 U D' F' D2 F2 L2 D L2 D R2 D B2,2025-01-17 11:51:04 +0000
263,28.23600709438324,,D2 F' U2 R U2 L U' B U B R2 F' U2 B2 U2 L2 B' U',2025-01-17 11:52:15 +0000
125,19.267319917678837,,B' U' R2 U' B2 F2 L2 D' U2 L' D' B F L D' L2 B L,2025-01-17 11:53:12 +0000
176,24.26220703125,,F R' U B F2 U2 R' B2 R2 U2 L' F' L2 R2 F R' B R,2025-01-17 12:00:04 +0000
143,19.937452912330627,,L B' R2 B2 U R' B U' R F D R' L F2 L' B2 L U2 D2,2025-01-17 12:00:55 +0000
282,22.57131600379944,,F D2 R' U' B L2 D F2 L F R' F' D2 F' R2 D2 F B',2025-01-17 12:02:01 +0000
83,19.463685035705566,,L2 B' U2 R' B' R2 F' U2 F2 L2 F' R2 U' L2 R U L B' F',2025-01-17 12:03:27 +0000
175,21.26604902744293,,R2 B R F2 B D' F L R2 D' L2 D R2 D R2 D F2 D' L' U',2025-01-17 12:05:18 +0000
130,16.233516931533813,,B U B2 D F2 L2 F2 D B' L U' R' F' R' U R2 B' D',2025-01-17 12:09:04 +0000
51,21.00105595588684,,D' R' U' F' B2 L U L D2 F2 R2 D2 R D2 B2 R2 U,2025-01-17 12:10:52 +0000
42,17.901048064231873,,U2 R2 L' D L' U R' F L U2 D2 B2 R F2 L B2 D2 F2 U',2025-01-17 12:11:43 +0000
208,18.76693892478943,,D L F' B' U F' R D2 L U F2 U L2 D F2 U2 F2 L2,2025-01-17 12:13:23 +0000
114,21.13123905658722,,L2 B' D2 B2 F D2 L2 B' U2 L' U' F2 D' R D2 B' R' D2 L,2025-01-17 17:58:38 +0000
248,24.40091097354889,,L2 B' L B R F' B2 D L D2 B' R2 U2 F2 R2 U2 F' L2 B U,2025-01-17 18:00:34 +0000
288,26.50231099128723,,D U L2 R2 D L2 B2 F2 U L' B2 F' L B2 R2 F R B R,2025-01-17 18:01:42 +0000
13,26.46797001361847,,B L F' D2 R2 U2 R2 B' D2 U2 L' F2 D' L' R F U2 B' F,2025-01-17 18:02:38 +0000
221,18.06750309467316,Pll skip,L2 U2 L' D' R B2 D L2 B R2 F R D2 L U2 L2 B2 U2,2025-01-17 18:03:41 +0000
18,23.598937034606934,,R' U F2 D' F2 L2 D2 F2 D U2 F' D' R D2 U' B2 F U B',2025-01-17 18:07:25 +0000
96,24.80090606212616,,D F2 B R B L2 D B2 U2 L' D2 R' F2 B2 R2 D2 L' B R',2025-01-17 18:08:23 +0000
231,21.633564949035645,,D' B' R' L U' B2 U' F2 B L D' L2 F' B' D2 L2 D2 R2,2025-01-17 18:09:20 +0000
238,21.900588035583496,,B2 U R' F' U L2 F2 R2 U' R' D2 L D2 R' F2 D2 L B2 R2 F2,2025-01-17 18:10:08 +0000
289,22.968199968338013,,R2 B L' D2 F' L B L' D' B2 L2 F2 R2 D2 F U2 F L B,2025-01-17 18:11:08 +0000
160,22.666507959365845,,L F' U2 F U2 B2 D2 L2 U2 L F2 U L B' F2 D L2 U2 B,2025-01-17 18:12:02 +0000
279,25.365288019180294,,R' U' F2 U' F2 R2 D2 R2 U' L2 U2 B' F L D' B D2 L2 D2 R',2025-01-17 18:13:03 +0000
84,27.733948945999146,N Perm not learned :(,U F L' F U2 R D' R' U2 R' F2 U2 B2 D2 F2 U2 L B U',2025-01-17 18:14:06 +0000
147,19.101679921150208,,F' L2 F2 B2 U' B2 L F' R' B' D L2 U R2 B2 U2 L2 U' F',2025-01-17 18:15:06 +0000
78,21.26596689224243,,L' D F R' F' L U F' R' D2 F2 R2 D2 R2 D2 B2 R U2 L' B,2025-01-17 18:15:53 +0000
97,35.868698954582214,Big flop bro,B2 U' R2 D2 R2 F2 D' L2 R U F' L R' U2 F' U L' F2 R,2025-01-17 18:16:54 +0000
118,21.20087194442749,,F D2 F' R2 B' F2 D2 F' D' L' D L2 U L2 F R' U' F' L2,2025-01-17 18:17:47 +0000
227,23.168681025505062,,U R' B' F' R2 U2 F R2 D2 B' U2 L2 R2 D' L' U2 R' D B',2025-01-17 18:18:44 +0000
242,21.802778005599976,,R F2 L' B2 D' F' D2 L U2 F' R2 F2 R2 B' L2 U2 F2 D2 U' F',2025-01-17 18:19:35 +0000
163,24.234676957130432,,F2 D2 F' R' U' B2 L2 F2 L' B U2 D L2 F2 D' B2 D' F,2025-01-17 18:20:30 +0000
216,25.80065190792084,,F L2 B2 F R2 B' U2 F2 R2 D2 L2 U R' D' F U2 F R' B2 F',2025-01-17 18:21:28 +0000
89,23.569728016853333,,L2 B2 U2 F' U2 B' L2 B2 D B2 R F' D B2 L' F D' L R2,2025-01-17 18:22:28 +0000
68,24.934579968452454,,F R' F B D2 L' U L U2 D2 R B2 R2 B2 U2 R F L D',2025-01-17 18:23:33 +0000
9,18.135066986083984,,L' D L U2 B2 U2 B2 R' U2 R F2 R' D' F' L2 U' R2 D2 F2,2025-01-19 11:15:12 +0000
101,21.67264401912689,,R F R2 U' F2 D2 L' B2 U' D F R U2 D2 L' U2 F2 R L',2025-01-19 11:16:06 +0000
5,23.20146095752716,,R2 U2 R' F2 L B2 L' F2 U L' F' D' B U2 B L F' L' D2,2025-01-19 11:16:56 +0000
22,21.33248209953308,1 F2L déjà fait wtf,D' B' L2 D2 F D2 F2 R2 F' U2 L' U F U2 B' U L D2 B2,2025-01-19 11:18:31 +0000
73,21.501965045928955,,U' F2 U2 L B2 R2 F' L2 D2 F2 U' F2 L2 D' L2 D B2 F' R,2025-01-19 11:19:43 +0000
235,20.90021395683289,,B R2 D' L' D2 L' U2 B2 R2 F L U B' F L2 B2 L,2025-01-19 11:21:07 +0000
107,30.000084042549133,Ptn j’ai foiré toute la croix …,D2 B' F' R2 U2 L2 U2 F2 U' B U B2 F R D' U L D' B',2025-01-19 11:22:07 +0000
182,30.900902032852173,,F' L B U B2 D L U B2 D2 F2 U D F R2 U',2025-01-19 11:27:03 +0000
156,24.58404695987701,,F' U2 B2 F U2 L2 F' R2 B2 R F' U2 B F' R D' F' U L',2025-01-19 11:28:09 +0000
256,23.13297402858734,,D L' B2 L' D' R' L2 D' L2 F D R2 L2 U D F2 L2 U L',2025-01-19 11:29:16 +0000
153,22.45100498199463,,L D2 B U2 L2 U2 L2 B F' R2 D' R' B D' L' B' U' F L' F2,2025-01-19 11:30:08 +0000
168,27.76526391506195,,U2 B2 R2 B' L D' R' U B' U' L B' U2 R2 U2 R2 F D2 F',2025-01-19 11:31:57 +0000
148,21.617552042007446,,B U L2 U' R' B U2 B' U2 L U' D B2 L2 D F2 R2 D' B2 R2,2025-01-19 11:33:02 +0000
93,22.70173692703247,,L2 F L' U B R2 L' F R' F U B2 U2 R' B2 L D2 B2 L2,2025-01-19 11:34:07 +0000
108,25.404787063598636,,L' D' L2 D2 B' U' F' L' D' R L F2 D2 R' F2 R B,2025-01-19 11:35:09 +0000
25,26.101190090179443,,L F2 R U F B D L2 F' U F2 B2 L' B2 R2 L' F2 L2 B',2025-01-19 11:35:58 +0000
122,30.934643983840942,,R2 B2 D' L2 R2 U L2 B2 R2 U' F R B F' D2 R' F2 L' D2 L,2025-01-19 11:37:19 +0000
16,23.099504947662357,,U L2 B D2 F D2 L2 B2 R2 F2 D F D2 B2 L F' U' R' U',2025-01-19 11:38:46 +0000
65,19.496775031089783,,R2 F R B' D' L' F B2 D' R U2 R2 D2 L' D2 B2 L' U2 B2 U2,2025-01-19 11:39:44 +0000
179,21.42708110809326,,F B2 R2 U' F2 U' L2 D' F2 D R' D B' F L2 B2 D2 L' B',2025-01-19 13:39:08 +0000
31,21.736954927444454,,R D B2 R' D2 L' F B2 L' B2 D2 L' B2 L' U' L2 B,2025-01-19 13:40:31 +0000
134,28.03485894203186,,B' D F' U L2 R2 U2 F2 D' U R B' D R2 F' R2 U2 B2,2025-01-19 13:41:28 +0000
60,21.36923897266388,,F' D R2 L D2 B R' U2 F L2 U' F2 R2 U2 F2 R F2 U2 F2,2025-01-19 13:42:17 +0000
46,17.034355998039246,,B' R2 F2 D2 L2 D2 L2 B R2 B' R' B2 U B2 L' D2 U L U',2025-01-19 14:27:38 +0000
19,22.845033049583435,,R' B2 U2 R U2 R B' U2 B2 U' R U R2 U2 D2 R2 F2 D',2025-01-19 14:28:52 +0000
75,22.99789297580719,,R B' D2 B2 R' F2 U2 B2 D2 L2 D' U' R B' U' L' D2 F2,2025-01-19 16:08:41 +0000
260,30.487429022789,,B U B D L2 F2 L2 B' F2 L2 D2 L' D L' R2 F' R U',2025-01-19 16:11:33 +0000
64,25.20061492919922,,R B2 U2 F2 R' U2 L' F2 R2 D L B2 R' F2 U' F2 D2 B L2,2025-01-19 16:12:33 +0000
285,21.06732702255249,,D F2 L2 U' L2 R2 D B2 F2 D2 B U' L D' U L2 B2 R D2,2025-01-19 16:15:50 +0000
127,19.199005007743835,,L2 F2 R2 D L2 U B2 F2 L R' F' R B' R2 D' B' R B L2,2025-01-19 16:59:49 +0000
273,22.56122994422913,,F D2 R2 B' L2 B2 F' D2 R2 B2 D R2 B U' B2 R B' R U,2025-01-19 17:04:35 +0000
239,26.69888210296631,,B U2 L2 U2 B2 U2 R2 B' L2 F' L F' U' L' F L2 U2 R' U' B',2025-01-19 17:05:27 +0000
212,19.349605917930603,,B U2 B L2 U2 B' D2 F R D2 B2 R' B R F D L B' R2,2025-01-19 17:06:17 +0000
228,24.499777913093567,,B U L' D' R2 D2 R D2 L2 U2 R2 U' R2 L2 U R' U2 L2 B,2025-01-19 17:07:23 +0000
